student_name,age,college_name,place,degree,qualification,skills_offered,skills_wanted,experience_level,learning_goal,preferred_learning_style,availability_days,availability_times,weekly_commitment_hours,swap_history_count,average_rating,response_rate,reliability_score,domain_interest,tech_stack_familiarity,project_interest_area
Siya Kapoor,27,BITS Pilani,Bengaluru,B.Tech,Graduate,"[""Video Editing"", ""PowerPoint"", ""Photoshop""]","[""CSS"", ""Illustrator"", ""Digital Marketing"", ""Photography""]",Expert,Prepare for job,1:1,Weekdays,Afternoon,5,21,4.0,0.98,0.48,Finance,"[""Flask"", ""Python"", ""Java"", ""Django""]",Open Source
Anika Saha,18,Osmania University,Kochi,BA,Graduate,"[""Deep Learning"", ""Python""]","[""Kubernetes"", ""React"", ""Public Speaking""]",Expert,Learn new language,Group sessions,Weekends,Afternoon,9,7,3.5,0.51,1.0,Cybersecurity,"[""Node.js"", ""MongoDB"", ""JavaScript"", ""React""]",Open Source
Vivaan Iyer,23,Jadavpur University,Chennai,BBA,Postgraduate,"[""Machine Learning"", ""NoSQL"", ""React"", ""Graphic Design"", ""Kubernetes""]","[""Deep Learning"", ""Git"", ""PowerPoint""]",Expert,Academic research,1:1,Weekends,Night,4,21,4.9,0.65,0.52,Business,"[""Java"", ""JavaScript""]",Competitions
Eva Saha,24,Manipal Institute of Technology,Bhopal,B.Tech,Postgraduate,"[""Photoshop"", ""Docker"", ""Project Management"", ""Angular"", ""React""]","[""Angular"", ""Content Writing"", ""Project Management""]",Beginner,Prepare for job,Mixed,Both,Night,16,22,3.6,0.56,0.64,Cybersecurity,"[""TensorFlow"", ""React"", ""PowerBI"", ""MongoDB""]",Hackathons
Siya Sharma,20,Manipal Institute of Technology,Jaipur,B.Sc,Graduate,"[""Digital Marketing"", ""Git"", ""Graphic Design"", ""PowerPoint"", ""SQL""]","[""Project Management"", ""Kubernetes"", ""Git"", ""Illustrator""]",Expert,Freelancing,1:1,Both,Evening,20,7,3.7,0.51,0.14,Data Science,"[""MongoDB"", ""Flask"", ""SQL"", ""AWS""]",Competitions
Myra Saha,22,IIT Bombay,Indore,B.Com,Graduate,"[""NoSQL"", ""Project Management""]","[""Digital Marketing"", ""Figma"", ""Photography"", ""Illustrator""]",Intermediate,Build portfolio,Mixed,Both,Afternoon,10,10,3.5,0.75,0.7,Software,"[""PyTorch"", ""Python"", ""JavaScript"", ""MongoDB""]",Competitions
Aadhya Verma,23,IIT Madras,Kolkata,MA,Postgraduate,"[""Digital Marketing"", ""HTML"", ""C++"", ""SQL"", ""Angular""]","[""NoSQL"", ""Python"", ""CSS"", ""Illustrator""]",Beginner,Build portfolio,Async exchange,Both,Evening,19,21,3.3,0.77,0.52,Business,"[""Canva""]",Hackathons
Siya Sharma,27,IIT Bombay,Kochi,MA,12th Pass,"[""Deep Learning"", ""Data Analysis"", ""SQL"", ""Kubernetes"", ""Canva""]","[""Project Management"", ""Content Writing""]",Expert,Contribute to open-source,Mixed,Both,Night,11,23,4.0,0.52,0.74,Cybersecurity,"[""PyTorch"", ""AWS"", ""Node.js""]",Freelancing
Sai Patel,21,Banaras Hindu University,Delhi,B.Com,Postgraduate,"[""SQL"", ""Deep Learning"", ""Photography"", ""Machine Learning"", ""React""]","[""JavaScript"", ""HTML""]",Expert,Hackathon prep,1:1,Weekends,Night,17,10,3.6,0.68,1.0,Entrepreneurship,"[""JavaScript"", ""React"", ""PyTorch""]",Academic
Sai Iyer,19,BITS Pilani,Chennai,B.Com,Postgraduate,"[""Angular"", ""Canva"", ""Docker"", ""Excel"", ""Git""]","[""Content Writing"", ""JavaScript""]",Expert,Prepare for job,1:1,Weekends,Afternoon,8,27,4.0,0.82,0.04,Business,"[""PowerBI"", ""Django""]",Competitions
Arjun Roy,18,Osmania University,Ahmedabad,B.Com,12th Pass,"[""CSS"", ""Deep Learning""]","[""NoSQL"", ""Figma"", ""Kubernetes""]",Expert,Learn new language,Group sessions,Weekdays,Morning,3,23,3.7,0.58,0.0,Data Science,"[""React"", ""Node.js"", ""SQL"", ""Python""]",Freelancing
Aryan Chatterjee,27,Jadavpur University,Pune,B.Tech,Postgraduate,"[""Excel"", ""Python"", ""Figma"", ""Data Analysis"", ""NoSQL""]","[""Angular"", ""Video Editing""]",Intermediate,Build portfolio,Async exchange,Weekdays,Night,4,22,4.0,0.62,0.5,AI/ML,"[""Node.js"", ""Flask""]",Freelancing
Anika Chatterjee,22,Manipal Institute of Technology,Chandigarh,M.Tech,Graduate,"[""Canva"", ""C++"", ""SQL"", ""Content Writing"", ""Docker""]","[""Canva"", ""CSS""]",Expert,Freelancing,1:1,Weekends,Evening,4,9,3.7,0.72,0.0,Data Science,"[""PyTorch"", ""React""]",Academic
Siya Khan,27,Christ University,Lucknow,M.Tech,Graduate,"[""Deep Learning"", ""HTML"", ""C++"", ""JavaScript""]","[""PowerPoint"", ""Data Analysis""]",Beginner,Prepare for job,Group sessions,Weekends,Night,5,30,3.9,0.53,0.97,Data Science,"[""Tableau"", ""Canva""]",Competitions
Muhammad Chatterjee,20,Jamia Millia Islamia,Kolkata,B.Sc,Graduate,"[""Digital Marketing"", ""Python"", ""Data Analysis""]","[""Digital Marketing"", ""Docker"", ""JavaScript""]",Beginner,Build portfolio,Group sessions,Both,Evening,4,7,4.4,0.69,1.0,Content Writing,"[""Python"", ""Azure""]",Academic
Reyansh Kapoor,26,Amity University,Jaipur,MA,Graduate,"[""HTML"", ""React"", ""JavaScript"", ""Excel"", ""Git""]","[""NoSQL"", ""Video Editing""]",Expert,Prepare for job,Group sessions,Weekdays,Morning,3,29,3.2,0.54,0.97,AI/ML,"[""Azure""]",Hackathons
Aditya Das,25,IIT Madras,Hyderabad,BBA,12th Pass,"[""React"", ""Data Analysis"", ""SQL"", ""Git"", ""Docker""]","[""Java"", ""Git"", ""Excel"", ""Project Management""]",Intermediate,Learn new language,Group sessions,Weekdays,Evening,2,27,3.9,0.71,0.81,Marketing,"[""PowerBI""]",Hackathons
Anika Ghosh,26,IIT Bombay,Patna,BBA,Graduate,"[""SQL"", ""Data Analysis"", ""Canva"", ""Python""]","[""Machine Learning"", ""Figma"", ""Project Management""]",Expert,Crack internship,Mixed,Weekdays,Evening,6,13,3.2,0.81,1.0,Design,"[""Java"", ""SQL""]",Competitions
Aadhya Chatterjee,28,Jamia Millia Islamia,Indore,MBA,12th Pass,"[""Digital Marketing"", ""Java"", ""Photography"", ""Photoshop"", ""Kubernetes""]","[""NoSQL"", ""Digital Marketing"", ""Git""]",Expert,Build portfolio,Async exchange,Weekends,Morning,16,21,3.7,0.68,0.57,Content Writing,"[""React"", ""Canva""]",Competitions
Sai Singh,27,IIT Madras,Bhopal,B.Tech,Postgraduate,"[""Photography"", ""JavaScript"", ""Deep Learning"", ""Excel"", ""Public Speaking""]","[""React"", ""Digital Marketing""]",Beginner,Build portfolio,1:1,Weekends,Evening,4,12,4.8,0.71,0.67,Entrepreneurship,"[""MongoDB""]",Hackathons
Anika Ghosh,25,VIT Vellore,Bhopal,MBA,12th Pass,"[""Content Writing"", ""Illustrator"", ""Java"", ""Video Editing""]","[""Angular"", ""PowerPoint"", ""Project Management""]",Expert,Academic research,Group sessions,Weekends,Night,2,8,4.9,0.99,0.62,AI/ML,"[""Java""]",Competitions
Myra Nair,19,VIT Vellore,Pune,M.Tech,Postgraduate,"[""Java"", ""Git"", ""Content Writing"", ""Docker""]","[""Photography"", ""Project Management"", ""HTML""]",Intermediate,Learn new language,1:1,Weekends,Night,11,30,3.2,0.65,0.1,Finance,"[""PowerBI"", ""React""]",Startups
Anaya Malhotra,23,SRM University,Delhi,MA,Graduate,"[""CSS"", ""Deep Learning""]","[""Video Editing"", ""SQL"", ""Angular""]",Expert,Contribute to open-source,Mixed,Weekends,Morning,16,26,4.8,0.82,0.77,Content Writing,"[""SQL""]",Hackathons
Sara Sharma,26,IIT Madras,Jaipur,M.Tech,12th Pass,"[""Video Editing"", ""Canva"", ""Project Management"", ""Photoshop""]","[""Kubernetes"", ""Photography"", ""NoSQL"", ""Excel""]",Beginner,Freelancing,Async exchange,Weekdays,Morning,12,3,3.6,0.99,1.0,Content Writing,"[""Java""]",Competitions
Myra Ghosh,22,Osmania University,Lucknow,BBA,12th Pass,"[""Content Writing"", ""JavaScript"", ""Project Management"", ""Python""]","[""Content Writing"", ""Illustrator"", ""Photoshop"", ""JavaScript""]",Beginner,Freelancing,Async exchange,Weekends,Evening,10,23,4.3,0.87,0.61,Design,"[""PyTorch""]",Hackathons
Arjun Nair,21,Delhi University,Jaipur,M.Tech,12th Pass,"[""Canva"", ""Angular"", ""Docker"", ""Data Analysis"", ""Photoshop""]","[""Angular"", ""Machine Learning"", ""C++"", ""Java""]",Intermediate,Prepare for job,1:1,Weekends,Morning,11,7,4.2,0.74,0.29,Business,"[""Java"", ""Canva"", ""SQL""]",Competitions
Aadhya Nair,22,Pune University,Lucknow,BBA,Graduate,"[""HTML"", ""Illustrator"", ""Figma""]","[""Content Writing"", ""CSS"", ""Data Analysis""]",Beginner,Build portfolio,Group sessions,Both,Afternoon,6,4,4.6,0.65,0.5,Design,"[""SQL"", ""Flask"", ""Django""]",Hackathons
Anaya Reddy,20,BITS Pilani,Indore,M.Sc,Postgraduate,"[""Java"", ""SQL""]","[""Deep Learning"", ""Canva"", ""Digital Marketing""]",Beginner,Freelancing,Mixed,Weekdays,Evening,2,27,4.3,0.92,0.0,Software,"[""JavaScript"", ""Python""]",Freelancing
Arjun Khan,18,Anna University,Jaipur,MBA,12th Pass,"[""Digital Marketing"", ""C++"", ""Canva""]","[""Docker"", ""Kubernetes""]",Expert,Freelancing,Group sessions,Weekdays,Morning,8,9,4.1,0.78,1.0,Entrepreneurship,"[""JavaScript""]",Startups
Aadhya Nair,19,Jamia Millia Islamia,Kochi,MBA,12th Pass,"[""SQL"", ""CSS"", ""Git"", ""Photoshop"", ""Docker""]","[""PowerPoint"", ""Docker"", ""Content Writing"", ""Angular""]",Expert,Freelancing,Group sessions,Weekends,Evening,10,9,3.5,0.54,0.78,Software,"[""SQL"", ""TensorFlow""]",Academic
Myra Das,20,Delhi University,Hyderabad,B.Com,12th Pass,"[""HTML"", ""React"", ""Excel""]","[""Video Editing"", ""HTML"", ""Photoshop""]",Intermediate,Freelancing,Group sessions,Weekends,Morning,6,15,3.7,0.6,0.6,Software,"[""PowerBI""]",Competitions
Aditya Mishra,20,Christ University,Delhi,MBA,12th Pass,"[""PowerPoint"", ""Content Writing"", ""JavaScript"", ""Machine Learning""]","[""PowerPoint"", ""SEO"", ""SQL"", ""Data Analysis""]",Intermediate,Hackathon prep,Group sessions,Both,Evening,2,12,4.5,0.99,1.0,Marketing,"[""TensorFlow""]",Startups
Anaya Khan,25,Calcutta University,Bhopal,BA,12th Pass,"[""Public Speaking"", ""Docker"", ""HTML"", ""Project Management"", ""Canva""]","[""JavaScript"", ""Kubernetes""]",Beginner,Learn new language,Group sessions,Weekdays,Morning,10,11,4.8,0.59,0.91,Software,"[""Node.js"", ""Python"", ""React"", ""Canva""]",Academic
Arjun Jain,22,Banaras Hindu University,Pune,MA,Postgraduate,"[""Python"", ""SQL"", ""Canva""]","[""Content Writing"", ""Docker"", ""Photoshop""]",Beginner,Prepare for job,1:1,Weekdays,Afternoon,16,30,3.9,0.5,0.3,Cybersecurity,"[""AWS""]",Competitions
Arnav Das,27,Jadavpur University,Bhopal,B.Sc,Postgraduate,"[""JavaScript"", ""Video Editing"", ""Kubernetes"", ""Graphic Design""]","[""Docker"", ""Python""]",Expert,Hackathon prep,Group sessions,Weekdays,Afternoon,16,9,3.9,0.69,0.33,Design,"[""GCP""]",Academic
Avni Kapoor,23,Amity University,Jaipur,B.Tech,Graduate,"[""Video Editing"", ""Docker"", ""Illustrator"", ""Deep Learning"", ""Kubernetes""]","[""Figma"", ""CSS"", ""Content Writing""]",Expert,Crack internship,Mixed,Weekdays,Morning,4,12,4.3,0.77,0.17,AI/ML,"[""MongoDB"", ""Node.js"", ""Azure"", ""TensorFlow""]",Startups
Aarav Nair,28,BITS Pilani,Pune,M.Sc,Postgraduate,"[""Project Management"", ""NoSQL""]","[""Python"", ""Machine Learning""]",Beginner,Build portfolio,1:1,Weekdays,Morning,4,15,4.5,0.59,0.53,Business,"[""Tableau""]",Freelancing
Vihaan Nair,22,SRM University,Delhi,B.Tech,Postgraduate,"[""Photography"", ""Git"", ""JavaScript"", ""Excel"", ""Python""]","[""Java"", ""CSS"", ""Docker""]",Beginner,Learn new language,1:1,Weekdays,Night,6,10,4.2,1.0,0.9,Business,"[""GCP"", ""Python"", ""Java"", ""Django""]",Hackathons
Arnav Roy,25,Christ University,Patna,M.Sc,Postgraduate,"[""Angular"", ""Excel"", ""HTML""]","[""Photography"", ""SEO""]",Expert,Contribute to open-source,Async exchange,Weekends,Night,4,22,3.3,0.6,0.77,Finance,"[""Flask""]",Freelancing
Aarav Khan,23,IIT Madras,Jaipur,MBA,Graduate,"[""Excel"", ""Project Management"", ""Python""]","[""Public Speaking"", ""Photoshop"", ""Docker""]",Intermediate,Crack internship,1:1,Both,Afternoon,3,17,3.9,0.51,0.82,Software,"[""Tableau"", ""Canva"", ""Django""]",Freelancing
Vihaan Malhotra,22,Jadavpur University,Kolkata,BA,Graduate,"[""Canva"", ""Public Speaking"", ""Excel"", ""CSS""]","[""Deep Learning"", ""Video Editing"", ""Public Speaking""]",Intermediate,Academic research,Group sessions,Weekends,Night,14,20,4.3,0.71,0.05,Content Writing,"[""Python"", ""Django"", ""Java"", ""GCP""]",Freelancing
Ira Ghosh,20,Manipal Institute of Technology,Indore,MA,Graduate,"[""C++"", ""Kubernetes""]","[""React"", ""Photoshop"", ""C++""]",Expert,Hackathon prep,Mixed,Weekends,Evening,13,18,4.6,0.69,0.5,Business,"[""GCP""]",Open Source
Avni Iyer,25,Lovely Professional University,Bhopal,MBA,Postgraduate,"[""Machine Learning"", ""Project Management"", ""CSS"", ""Graphic Design""]","[""Excel"", ""Project Management"", ""Data Analysis"", ""Deep Learning""]",Expert,Build portfolio,Group sessions,Both,Afternoon,6,16,4.0,0.8,0.56,Cybersecurity,"[""SQL"", ""AWS"", ""Flask"", ""Python""]",Hackathons
Vivaan Khan,19,Jadavpur University,Mumbai,M.Sc,Postgraduate,"[""Angular"", ""Python""]","[""SEO"", ""C++"", ""Kubernetes""]",Expert,Hackathon prep,Mixed,Weekdays,Evening,19,28,3.1,0.92,1.0,Marketing,"[""Java"", ""SQL"", ""TensorFlow"", ""Node.js""]",Hackathons
Reyansh Malhotra,25,BITS Pilani,Indore,M.Sc,Graduate,"[""NoSQL"", ""Data Analysis"", ""Graphic Design"", ""Deep Learning""]","[""PowerPoint"", ""Excel"", ""CSS"", ""Photography""]",Beginner,Crack internship,Group sessions,Weekends,Morning,10,2,4.3,0.66,0.0,Software,"[""Node.js"", ""TensorFlow""]",Academic
Ira Saha,28,Delhi University,Mumbai,MBA,Graduate,"[""Python"", ""Video Editing"", ""JavaScript"", ""Deep Learning""]","[""Figma"", ""SQL""]",Intermediate,Build portfolio,Mixed,Weekends,Afternoon,8,11,3.1,0.73,0.82,Business,"[""SQL"", ""Java"", ""AWS"", ""JavaScript""]",Freelancing
Myra Iyer,19,VIT Vellore,Chandigarh,MBA,Postgraduate,"[""Project Management"", ""Data Analysis"", ""Git""]","[""NoSQL"", ""C++"", ""Video Editing"", ""Machine Learning""]",Beginner,Hackathon prep,Mixed,Both,Night,14,7,4.5,0.63,0.71,Data Science,"[""Flask"", ""PyTorch"", ""GCP"", ""AWS""]",Startups
Aaradhya Jain,21,Banaras Hindu University,Mumbai,BBA,12th Pass,"[""Java"", ""Digital Marketing"", ""Figma"", ""NoSQL""]","[""Kubernetes"", ""Photoshop"", ""Machine Learning""]",Beginner,Crack internship,Group sessions,Both,Afternoon,18,22,3.6,0.52,0.77,Data Science,"[""AWS"", ""Node.js"", ""Canva"", ""PowerBI""]",Freelancing
Sai Joshi,24,Christ University,Lucknow,MA,Graduate,"[""Excel"", ""Photoshop"", ""Illustrator"", ""SQL"", ""NoSQL""]","[""CSS"", ""Deep Learning"", ""C++"", ""Project Management""]",Intermediate,Contribute to open-source,Async exchange,Weekdays,Night,2,17,4.3,0.55,0.76,Finance,"[""GCP""]",Freelancing
Aditya Khan,27,BITS Pilani,Mumbai,BA,Graduate,"[""Public Speaking"", ""Deep Learning""]","[""Kubernetes"", ""SEO"", ""PowerPoint"", ""Canva""]",Beginner,Learn new language,1:1,Both,Evening,11,22,3.1,0.99,0.59,Finance,"[""GCP"", ""React"", ""Java""]",Academic
Eva Sharma,27,Amity University,Kolkata,MBA,Postgraduate,"[""SQL"", ""Video Editing"", ""Figma""]","[""Python"", ""Content Writing""]",Beginner,Build portfolio,Async exchange,Both,Night,2,21,4.4,0.88,0.1,Data Science,"[""Node.js"", ""TensorFlow""]",Academic
Aarav Mukherjee,25,Pune University,Kolkata,MBA,Graduate,"[""CSS"", ""Excel"", ""React"", ""Graphic Design"", ""Illustrator""]","[""SQL"", ""C++"", ""Deep Learning""]",Intermediate,Crack internship,Group sessions,Both,Morning,10,1,3.8,0.81,0.0,Business,"[""GCP"", ""Java""]",Open Source
Ira Kapoor,18,Banaras Hindu University,Jaipur,M.Sc,12th Pass,"[""SQL"", ""Project Management"", ""Kubernetes"", ""Excel"", ""Figma""]","[""Angular"", ""Docker"", ""Excel""]",Expert,Freelancing,Mixed,Both,Afternoon,3,27,4.7,0.98,0.22,Entrepreneurship,"[""MongoDB""]",Academic
Arjun Mukherjee,18,IIT Bombay,Chennai,B.Tech,Postgraduate,"[""Public Speaking"", ""Photography"", ""React"", ""Excel""]","[""Photoshop"", ""Java"", ""Data Analysis""]",Beginner,Hackathon prep,Mixed,Weekends,Morning,8,14,4.9,0.77,0.79,Data Science,"[""PowerBI"", ""Node.js""]",Hackathons
Sai Mishra,18,IIT Bombay,Kolkata,MA,Postgraduate,"[""Excel"", ""Figma"", ""SQL"", ""React"", ""Deep Learning""]","[""Excel"", ""SEO"", ""Video Editing""]",Beginner,Hackathon prep,Group sessions,Weekends,Afternoon,8,10,3.5,0.6,0.6,Content Writing,"[""Tableau"", ""Python"", ""TensorFlow""]",Academic
Aarav Singh,18,Christ University,Lucknow,BA,Graduate,"[""Digital Marketing"", ""Machine Learning""]","[""Angular"", ""Deep Learning"", ""Canva"", ""Docker""]",Expert,Crack internship,Async exchange,Weekdays,Evening,11,10,3.2,0.86,0.4,AI/ML,"[""GCP"", ""PyTorch""]",Hackathons
Myra Ghosh,24,Jadavpur University,Kochi,M.Sc,Graduate,"[""Photography"", ""Python"", ""SQL"", ""Photoshop""]","[""Public Speaking"", ""Photography""]",Beginner,Academic research,1:1,Both,Evening,4,13,5.0,0.69,0.08,Content Writing,"[""Flask""]",Academic
Aryan Mukherjee,24,IIT Bombay,Mumbai,MA,Postgraduate,"[""Video Editing"", ""C++"", ""Canva""]","[""NoSQL"", ""Graphic Design"", ""SEO"", ""Project Management""]",Intermediate,Build portfolio,1:1,Weekdays,Night,17,27,3.3,0.96,0.22,Data Science,"[""PyTorch"", ""JavaScript"", ""Azure""]",Startups
Anika Das,23,Manipal Institute of Technology,Kochi,B.Tech,Graduate,"[""Illustrator"", ""Java"", ""Python"", ""Public Speaking"", ""Graphic Design""]","[""Project Management"", ""Canva"", ""Video Editing""]",Intermediate,Hackathon prep,1:1,Weekdays,Evening,4,19,3.2,0.77,0.32,Content Writing,"[""Canva""]",Competitions
Ira Ghosh,20,Jadavpur University,Ahmedabad,BBA,12th Pass,"[""Photography"", ""Figma""]","[""Graphic Design"", ""CSS"", ""Machine Learning""]",Expert,Crack internship,Async exchange,Weekends,Night,16,13,3.6,0.87,0.23,Entrepreneurship,"[""Canva"", ""Azure""]",Open Source
Myra Roy,20,Lovely Professional University,Ahmedabad,MBA,Postgraduate,"[""React"", ""Java"", ""SQL""]","[""Kubernetes"", ""Public Speaking"", ""Excel"", ""NoSQL""]",Intermediate,Learn new language,Async exchange,Weekdays,Morning,4,10,3.9,0.51,0.6,Cybersecurity,"[""React""]",Academic
Aditya Mishra,26,Manipal Institute of Technology,Indore,B.Com,Postgraduate,"[""Kubernetes"", ""Photography"", ""Content Writing"", ""Graphic Design""]","[""SEO"", ""Photography"", ""Angular"", ""C++""]",Beginner,Academic research,Mixed,Weekdays,Night,11,15,3.7,0.71,0.73,Content Writing,"[""React"", ""PyTorch""]",Competitions
Aadhya Mukherjee,18,IIT Madras,Bengaluru,BBA,12th Pass,"[""Excel"", ""Graphic Design""]","[""Photoshop"", ""C++""]",Intermediate,Contribute to open-source,Async exchange,Weekends,Evening,9,29,4.5,0.81,0.83,Finance,"[""Flask"", ""GCP"", ""MongoDB""]",Freelancing
Aditya Patel,23,SRM University,Ahmedabad,BBA,Graduate,"[""Angular"", ""JavaScript""]","[""Figma"", ""Deep Learning"", ""SQL"", ""Public Speaking""]",Beginner,Contribute to open-source,Async exchange,Weekdays,Afternoon,4,14,3.9,0.9,0.07,Finance,"[""GCP"", ""JavaScript"", ""AWS""]",Academic
Reyansh Sharma,19,VIT Vellore,Pune,M.Sc,Graduate,"[""Digital Marketing"", ""Figma""]","[""Video Editing"", ""Python""]",Expert,Contribute to open-source,Mixed,Weekends,Morning,16,1,3.7,0.58,1.0,AI/ML,"[""Azure"", ""Flask"", ""Java"", ""React""]",Academic
Aadhya Joshi,24,IIT Madras,Patna,MA,Postgraduate,"[""PowerPoint"", ""Excel"", ""Photoshop"", ""React""]","[""Data Analysis"", ""Kubernetes"", ""Excel"", ""React""]",Expert,Learn new language,1:1,Both,Night,18,19,4.5,0.75,0.63,Software,"[""PyTorch""]",Freelancing
Vivaan Roy,24,Pune University,Bengaluru,MA,Graduate,"[""Machine Learning"", ""Photography"", ""Docker"", ""Data Analysis""]","[""Public Speaking"", ""JavaScript""]",Beginner,Contribute to open-source,Async exchange,Weekends,Afternoon,8,25,3.5,0.91,0.76,Data Science,"[""Java"", ""PowerBI"", ""Python""]",Hackathons
Vivaan Saha,18,Delhi University,Bengaluru,B.Sc,Graduate,"[""PowerPoint"", ""CSS"", ""React"", ""Git""]","[""SQL"", ""Deep Learning""]",Beginner,Learn new language,Mixed,Weekends,Evening,5,13,3.2,0.56,0.38,Business,"[""GCP"", ""Django""]",Competitions
Reyansh Mukherjee,27,Jamia Millia Islamia,Pune,MA,12th Pass,"[""Data Analysis"", ""Excel""]","[""Git"", ""Photoshop"", ""Illustrator"", ""Excel""]",Expert,Contribute to open-source,Mixed,Weekdays,Afternoon,13,4,5.0,0.52,0.75,AI/ML,"[""Python"", ""MongoDB"", ""AWS"", ""Node.js""]",Startups
Muhammad Patel,22,Mumbai University,Mumbai,BBA,Postgraduate,"[""Content Writing"", ""Video Editing"", ""HTML"", ""Machine Learning"", ""SQL""]","[""Public Speaking"", ""Machine Learning"", ""Canva""]",Beginner,Contribute to open-source,Mixed,Weekends,Morning,18,9,4.2,0.88,0.56,Data Science,"[""Flask""]",Academic
Ira Chatterjee,18,Christ University,Bhopal,M.Tech,12th Pass,"[""Canva"", ""Graphic Design""]","[""Photoshop"", ""C++"", ""SEO""]",Intermediate,Prepare for job,Group sessions,Weekends,Night,3,26,3.1,0.65,0.38,Design,"[""Flask"", ""Django"", ""SQL""]",Open Source
Vihaan Saha,22,Banaras Hindu University,Hyderabad,MA,Graduate,"[""Illustrator"", ""Python""]","[""Machine Learning"", ""Kubernetes""]",Expert,Learn new language,Async exchange,Weekends,Morning,20,14,4.1,0.85,0.86,AI/ML,"[""SQL"", ""Tableau"", ""JavaScript"", ""Canva""]",Competitions
Anaya Khan,18,BITS Pilani,Pune,B.Com,12th Pass,"[""CSS"", ""JavaScript"", ""PowerPoint""]","[""PowerPoint"", ""Java"", ""Project Management""]",Expert,Academic research,Async exchange,Weekends,Morning,4,23,3.1,0.9,0.87,Cybersecurity,"[""Django"", ""Canva"", ""Flask"", ""Node.js""]",Startups
Aarav Saha,25,Osmania University,Delhi,MA,Graduate,"[""Docker"", ""Angular"", ""CSS""]","[""Photography"", ""Digital Marketing""]",Intermediate,Learn new language,Group sessions,Weekdays,Afternoon,7,9,4.0,0.82,0.0,Marketing,"[""Django"", ""PyTorch""]",Open Source
Siya Gupta,19,IIT Delhi,Jaipur,B.Sc,Graduate,"[""Public Speaking"", ""Canva"", ""SQL"", ""Graphic Design""]","[""HTML"", ""Photoshop""]",Expert,Hackathon prep,Async exchange,Both,Night,9,24,3.1,0.85,0.92,Content Writing,"[""Azure""]",Open Source
Avni Khan,26,Jadavpur University,Hyderabad,MA,Postgraduate,"[""Python"", ""Deep Learning"", ""SEO"", ""Canva""]","[""Python"", ""Project Management""]",Beginner,Build portfolio,1:1,Weekdays,Afternoon,16,11,4.6,0.79,0.73,Business,"[""Tableau"", ""MongoDB""]",Open Source
Vihaan Iyer,26,IIT Delhi,Jaipur,M.Sc,12th Pass,"[""C++"", ""Graphic Design"", ""Public Speaking""]","[""Illustrator"", ""NoSQL""]",Expert,Hackathon prep,Mixed,Both,Evening,12,3,3.7,0.97,1.0,Data Science,"[""Java""]",Hackathons
Sara Singh,28,Jamia Millia Islamia,Pune,B.Com,Graduate,"[""Deep Learning"", ""PowerPoint"", ""NoSQL""]","[""C++"", ""SQL""]",Beginner,Crack internship,Group sessions,Weekends,Morning,13,19,3.8,0.67,1.0,AI/ML,"[""Java"", ""PyTorch"", ""Azure""]",Academic
Aadhya Kapoor,23,IIT Delhi,Kochi,MBA,12th Pass,"[""Photoshop"", ""Angular"", ""SEO"", ""NoSQL""]","[""Machine Learning"", ""Photography""]",Beginner,Freelancing,Group sessions,Weekdays,Afternoon,15,16,4.4,0.95,0.94,Entrepreneurship,"[""Azure"", ""Django""]",Competitions
Aditya Joshi,28,BITS Pilani,Pune,B.Tech,Graduate,"[""React"", ""Data Analysis"", ""Graphic Design"", ""Excel"", ""PowerPoint""]","[""Project Management"", ""NoSQL"", ""C++"", ""Git""]",Intermediate,Contribute to open-source,1:1,Weekdays,Morning,13,8,3.4,0.53,0.75,Design,"[""Canva"", ""AWS"", ""SQL""]",Freelancing
Arnav Malhotra,26,IIT Delhi,Lucknow,MBA,12th Pass,"[""SQL"", ""Graphic Design"", ""Docker""]","[""Illustrator"", ""Excel"", ""Content Writing""]",Intermediate,Learn new language,Mixed,Weekdays,Night,11,9,4.7,0.98,0.11,Business,"[""Canva"", ""Node.js"", ""Java""]",Hackathons
Arjun Nair,28,Osmania University,Patna,M.Tech,Postgraduate,"[""Illustrator"", ""NoSQL"", ""Figma""]","[""Public Speaking"", ""Project Management""]",Intermediate,Crack internship,1:1,Weekdays,Evening,5,30,3.5,0.69,0.27,Data Science,"[""GCP""]",Freelancing
Myra Roy,20,IIT Bombay,Patna,B.Com,Postgraduate,"[""CSS"", ""Python""]","[""SEO"", ""NoSQL""]",Intermediate,Build portfolio,Async exchange,Weekends,Morning,20,11,4.7,0.61,0.27,Design,"[""Django"", ""JavaScript""]",Startups
Ira Sharma,21,Manipal Institute of Technology,Lucknow,M.Sc,Postgraduate,"[""JavaScript"", ""Machine Learning"", ""Git"", ""Java""]","[""SEO"", ""PowerPoint"", ""Canva"", ""Project Management""]",Expert,Hackathon prep,Group sessions,Weekends,Afternoon,6,24,3.3,0.67,0.38,Marketing,"[""PyTorch""]",Startups
Aadhya Sharma,26,Delhi University,Bengaluru,BA,Graduate,"[""NoSQL"", ""Content Writing""]","[""Photoshop"", ""Photography""]",Expert,Hackathon prep,Group sessions,Weekends,Evening,15,3,3.6,0.87,1.0,Software,"[""GCP""]",Hackathons
